Feature Name,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS
ExternalRiskEstimate,"(-inf, 64.50)",694,0.26277925028398336,538,156,0.22478386167146974,1.2145255185724502,0.34389822129060027,0.040525901975082004
ExternalRiskEstimate,"[64.50, 68.50)",354,0.13404013631200304,244,110,0.3107344632768362,0.7732108251609883,0.07604029187722432,0.009275118953818114
ExternalRiskEstimate,"[68.50, 73.50)",429,0.16243847027641045,247,182,0.42424242424242425,0.28190461521138466,0.012803159856312136,0.0015951166276943936
ExternalRiskEstimate,"[73.50, 76.50)",234,0.08860280196895115,95,139,0.594017094017094,-0.40407407586994815,0.014306495416853656,0.0017762442151275492
ExternalRiskEstimate,"[76.50, 84.50)",568,0.21507004922377887,155,413,0.727112676056338,-1.003499510381583,0.2011586335270784,0.024140197665371864
ExternalRiskEstimate,"[84.50, inf)",362,0.13706929193487316,57,305,0.8425414364640884,-1.7007375431126592,0.3249289764855984,0.036334993295500995
ExternalRiskEstimate,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
ExternalRiskEstimate,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
ExternalRiskEstimate,,2641,1.0,1336,1305,0.4941310109806891,,0.9731357784536672,0.11364757273259492
MSinceOldestTradeOpen,"(-inf, 120.50)",574,0.21734191594093147,384,190,0.3310104529616725,0.6801414460874435,0.09646533185841133,0.011830995162806501
MSinceOldestTradeOpen,"[120.50, 136.50)",166,0.0628549791745551,98,68,0.40963855421686746,0.34198273915466815,0.007265769967976237,0.0009038211956576428
MSinceOldestTradeOpen,"[136.50, 171.50)",447,0.16925407042786822,229,218,0.48769574944071586,0.02574990642535365,0.00011220205515028055,1.4024869425210496e-05
MSinceOldestTradeOpen,"[171.50, 263.50)",839,0.31768269594850435,388,451,0.5375446960667462,-0.17393903421920234,0.00959703543243993,0.0011981194407938867
MSinceOldestTradeOpen,"[263.50, 381.50)",456,0.17266187050359713,182,274,0.6008771929824561,-0.4325984536510722,0.03189727534050287,0.003956357333238968
MSinceOldestTradeOpen,"[381.50, inf)",159,0.06020446800454373,55,104,0.6540880503144654,-0.6605347482486987,0.02544764408259164,0.0031243603559086425
MSinceOldestTradeOpen,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
MSinceOldestTradeOpen,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
MSinceOldestTradeOpen,,2641,1.0,1336,1305,0.4941310109806891,,0.1707852587370723,0.02102767835783085
MSinceMostRecentTradeOpen,"(-inf, 5.50)",1296,0.49072321090496024,692,604,0.4660493827160494,0.11253472334305728,0.006203906823617893,0.0007750794104633783
MSinceMostRecentTradeOpen,"[5.50, 7.50)",317,0.1200302915562287,176,141,0.444794952681388,0.1982470703201863,0.004696582118811219,0.0005861132719315338
MSinceMostRecentTradeOpen,"[7.50, 13.50)",513,0.19424460431654678,259,254,0.4951267056530214,-0.003983239658796094,3.0819913619403677e-06,3.85248665568758e-07
MSinceMostRecentTradeOpen,"[13.50, 16.50)",150,0.05679666792881484,71,79,0.5266666666666666,-0.13024500976550316,0.0009628604462727252,0.00012027255633359989
MSinceMostRecentTradeOpen,"[16.50, 29.50)",231,0.08746686861037486,92,139,0.6017316017316018,-0.4361623904214489,0.01642200883108815,0.002036633043250271
MSinceMostRecentTradeOpen,"[29.50, inf)",134,0.050738356683074595,46,88,0.6567164179104478,-0.6721724523289087,0.02218290921725557,0.002721814120880286
MSinceMostRecentTradeOpen,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
MSinceMostRecentTradeOpen,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
MSinceMostRecentTradeOpen,,2641,1.0,1336,1305,0.4941310109806891,,0.050471349428407496,0.006240297651524638
AverageMInFile,"(-inf, 51.50)",560,0.21204089360090875,407,153,0.2732142857142857,0.9548982297103624,0.17894729730113193,0.02155551891670715
AverageMInFile,"[51.50, 57.50)",147,0.05566073457023855,89,58,0.3945578231292517,0.4047163248459231,0.008973500682295668,0.0011140944372037666
AverageMInFile,"[57.50, 69.50)",400,0.15145778114350625,221,179,0.4475,0.18729986133720047,0.005292047209794114,0.0006605406588577091
AverageMInFile,"[69.50, 80.50)",412,0.15600151457781145,195,217,0.5266990291262136,-0.13037482931650998,0.0026499259105290337,0.00033100634233386265
AverageMInFile,"[80.50, 105.50)",642,0.24308973873532752,268,374,0.5825545171339563,-0.35674585124347225,0.03067701665739003,0.003814421276757088
AverageMInFile,"[105.50, inf)",480,0.1817493373722075,156,324,0.675,-0.7543645428825897,0.09920602464627735,0.012114837292028717
AverageMInFile,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
AverageMInFile,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
AverageMInFile,,2641,1.0,1336,1305,0.4941310109806891,,0.3257458124074181,0.039590418923888294
NumSatisfactoryTrades,"(-inf, 5.50)",184,0.06967057932601288,126,58,0.31521739130434784,0.7523618620652613,0.037517978417692166,0.004582176598668837
NumSatisfactoryTrades,"[5.50, 11.50)",380,0.14388489208633093,223,157,0.4131578947368421,0.3274489317720134,0.015262281495967341,0.0018993073673876926
NumSatisfactoryTrades,"[11.50, 13.50)",189,0.0715638015903067,102,87,0.4603174603174603,0.13558766028989025,0.00131257515450293,0.00016394633055941263
NumSatisfactoryTrades,"[13.50, 20.50)",702,0.26580840590685345,354,348,0.49572649572649574,-0.006382600980497186,1.0828764138567967e-05,1.3535932197181926e-06
NumSatisfactoryTrades,"[20.50, 37.50)",981,0.3714502082544491,447,534,0.5443425076452599,-0.20131427868642332,0.015020977126229232,0.0018744579177294336
NumSatisfactoryTrades,"[37.50, inf)",205,0.07762211283604695,84,121,0.5902439024390244,-0.3884507810932245,0.011593723383673479,0.0014401720360406132
NumSatisfactoryTrades,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
NumSatisfactoryTrades,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
NumSatisfactoryTrades,,2641,1.0,1336,1305,0.4941310109806891,,0.08071836434220371,0.009961413843605708
NumTrades60Ever2DerogPubRec,"(-inf, 0.50)",1837,0.6955698599015524,798,1039,0.5655960805661404,-0.28738242798921576,0.05714978728626258,0.0071192415381064605
NumTrades60Ever2DerogPubRec,"[0.50, 1.50)",485,0.18364255963650133,315,170,0.35051546391752575,0.5932971674355741,0.06259892882947386,0.007712083458268612
NumTrades60Ever2DerogPubRec,"[1.50, 2.50)",173,0.06550549034456646,118,55,0.3179190751445087,0.7398744048933966,0.034165742272906696,0.0041758977440834
NumTrades60Ever2DerogPubRec,"[2.50, inf)",146,0.05528209011737978,105,41,0.2808219178082192,0.9169112491134184,0.0432554622526955,0.005225146639987903
NumTrades60Ever2DerogPubRec,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
NumTrades60Ever2DerogPubRec,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
NumTrades60Ever2DerogPubRec,,2641,1.0,1336,1305,0.4941310109806891,,0.19716992064133865,0.024232369380446376
NumTrades90Ever2DerogPubRec,"(-inf, 0.50)",2062,0.7807648617947747,944,1118,0.542192046556741,-0.19264752190934104,0.028919890457182205,0.0036094065252728347
NumTrades90Ever2DerogPubRec,"[0.50, 1.50)",391,0.14804998106777736,263,128,0.3273657289002558,0.69664673391835,0.06880918858138742,0.008431334021700775
NumTrades90Ever2DerogPubRec,"[1.50, inf)",188,0.07118515713744794,129,59,0.31382978723404253,0.7587979261161556,0.038961358400351226,0.004756594777093549
NumTrades90Ever2DerogPubRec,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
NumTrades90Ever2DerogPubRec,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
NumTrades90Ever2DerogPubRec,,2641,1.0,1336,1305,0.4941310109806891,,0.13669043743892084,0.01679733532406716
PercentTradesNeverDelq,"(-inf, 76.50)",311,0.1177584248390761,220,91,0.29260450160771706,0.8592910054957142,0.08158010667955619,0.009894921486258357
PercentTradesNeverDelq,"[76.50, 84.50)",202,0.07648617947747066,139,63,0.3118811881188119,0.7678621723993619,0.04282064344636747,0.005224840891705091
PercentTradesNeverDelq,"[84.50, 90.50)",273,0.10336993563044301,182,91,0.3333333333333333,0.6696701462201481,0.04453021470386047,0.005464544366508074
PercentTradesNeverDelq,"[90.50, 95.50)",395,0.1495645588792124,230,165,0.4177215189873418,0.30865680068281764,0.014111451569520367,0.0017569626297090721
PercentTradesNeverDelq,"[95.50, 99.50)",256,0.096932979931844,110,146,0.5703125,-0.30660329025571753,0.00905769442030364,0.0011277977833927576
PercentTradesNeverDelq,"[99.50, inf)",1204,0.4558879212419538,455,749,0.622093023255814,-0.5219185989060664,0.12180405670858885,0.01505501804383385
PercentTradesNeverDelq,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
PercentTradesNeverDelq,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
PercentTradesNeverDelq,,2641,1.0,1336,1305,0.4941310109806891,,0.31390416752819694,0.038524085201407196
MSinceMostRecentDelq,"(-inf, -3.50)",1302,0.4929950776221128,498,804,0.6175115207373272,-0.5024762264941105,0.12227129017541495,0.015125125778509385
MSinceMostRecentDelq,"[-3.50, 2.50)",180,0.0681560015145778,140,40,0.2222222222222222,1.2292859341555709,0.09113812596011947,0.0107251240804821
MSinceMostRecentDelq,"[2.50, 11.50)",402,0.15221507004922377,278,124,0.30845771144278605,0.7838625137458031,0.08862716055512834,0.010803206163204515
MSinceMostRecentDelq,"[11.50, 22.50)",264,0.09996213555471413,171,93,0.3522727272727273,0.5855870290096066,0.03322014378040078,0.004094185716367434
MSinceMostRecentDelq,"[22.50, inf)",493,0.18667171525937146,249,244,0.4949290060851927,-0.0031923631682912942,1.9024395644657975e-06,2.3780484459926974e-07
MSinceMostRecentDelq,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
MSinceMostRecentDelq,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
MSinceMostRecentDelq,,2641,1.0,1336,1305,0.4941310109806891,,0.33525862291062797,0.040747879543408035
MaxDelq2PublicRecLast12M,"(-inf, 3.50)",223,0.08443771298750473,129,94,0.42152466367713004,0.29304058775187103,0.007187182286494687,0.000895197027823212
MaxDelq2PublicRecLast12M,"[3.50, 5.50)",472,0.17872018174933738,350,122,0.2584745762711864,1.0304350754104057,0.17361744722188374,0.02079028656420505
MaxDelq2PublicRecLast12M,"[5.50, 6.50)",831,0.31465354032563425,450,381,0.4584837545126354,0.14297117329786735,0.006415448856187252,0.0008012488010482946
MaxDelq2PublicRecLast12M,"[6.50, inf)",1115,0.42218856493752366,407,708,0.6349775784753363,-0.577107942590922,0.1372870640979035,0.016926633807469407
MaxDelq2PublicRecLast12M,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
MaxDelq2PublicRecLast12M,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
MaxDelq2PublicRecLast12M,,2641,1.0,1336,1305,0.4941310109806891,,0.32450714246246914,0.03941336620054596
MaxDelqEver,"(-inf, 2.50)",231,0.08746686861037486,146,85,0.36796536796536794,0.5174783308782228,0.022845290526818097,0.0028242194073704163
MaxDelqEver,"[2.50, 4.50)",173,0.06550549034456646,111,62,0.3583815028901734,0.5589187819274455,0.019883118596993345,0.0024535363423067724
MaxDelqEver,"[4.50, 5.50)",267,0.10109806891329041,174,93,0.34831460674157305,0.6029787717214757,0.035560765403644196,0.004378956390681149
MaxDelqEver,"[5.50, 6.50)",757,0.2866338508140856,446,311,0.4108322324966975,0.3370490055010327,0.03219430052659564,0.004005346474668183
MaxDelqEver,"[6.50, inf)",1213,0.4592957213176827,459,754,0.6215993404781534,-0.519819192287208,0.1217494019726576,0.015049612701631292
MaxDelqEver,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
MaxDelqEver,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
MaxDelqEver,,2641,1.0,1336,1305,0.4941310109806891,,0.23223287702670886,0.028711671316657812
NumTotalTrades,"(-inf, 8.50)",323,0.1223021582733813,185,138,0.42724458204334365,0.269625105581323,0.008823731645418094,0.0010996375891913109
NumTotalTrades,"[8.50, 17.50)",745,0.2820901173797804,416,329,0.44161073825503355,0.2111504751560943,0.012514881444427337,0.0015614605495985461
NumTotalTrades,"[17.50, 21.50)",368,0.13934115865202576,184,184,0.5,-0.023477034339797226,7.68078807179915e-05,9.600764604745637e-06
NumTotalTrades,"[21.50, 41.50)",1016,0.3847027641045059,471,545,0.5364173228346457,-0.1694047349866237,0.011024794236387709,0.0013764537802710697
NumTotalTrades,"[41.50, inf)",189,0.0715638015903067,80,109,0.5767195767195767,-0.33279828189505956,0.007868903786015279,0.000979098805205053
NumTotalTrades,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
NumTotalTrades,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
NumTotalTrades,,2641,1.0,1336,1305,0.4941310109806891,,0.04030911899296641,0.005026251488870726
NumTradesOpeninLast12M,"(-inf, 0.50)",690,0.26126467247254825,293,397,0.5753623188405798,-0.3272407060099206,0.027783777266461602,0.003457558475097034
NumTradesOpeninLast12M,"[0.50, 1.50)",694,0.26277925028398336,334,360,0.5187319884726225,-0.09844007281325245,0.0025458639520668748,0.0003181045637227469
NumTradesOpeninLast12M,"[1.50, 3.50)",866,0.32790609617569105,468,398,0.45958429561200925,0.1385392562934118,0.006278399361194309,0.0007841729066843973
NumTradesOpeninLast12M,"[3.50, inf)",391,0.14804998106777736,241,150,0.3836317135549872,0.45068460505460217,0.02949581690627673,0.0036560870080014976
NumTradesOpeninLast12M,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
NumTradesOpeninLast12M,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
NumTradesOpeninLast12M,,2641,1.0,1336,1305,0.4941310109806891,,0.0661038574859995,0.008215922953505676
PercentInstallTrades,"(-inf, 17.50)",495,0.18742900416508898,186,309,0.6242424242424243,-0.5310716375243415,0.05181137673679386,0.006401371436118294
PercentInstallTrades,"[17.50, 23.50)",320,0.121166224914805,142,178,0.55625,-0.24943352703062172,0.007510703479279132,0.0009364116577422164
PercentInstallTrades,"[23.50, 37.50)",767,0.2904202953426732,379,388,0.5058670143415906,-0.046946168880644464,0.0006401285204301502,8.00087179122352e-05
PercentInstallTrades,"[37.50, 49.50)",524,0.19840969329799318,278,246,0.46946564885496184,0.09881254341847688,0.0019345603947543404,0.00024172171770977646
PercentInstallTrades,"[49.50, 65.50)",394,0.14918591442635365,241,153,0.3883248730964467,0.4308819777584224,0.027209267158366603,0.0033750895406369098
PercentInstallTrades,"[65.50, inf)",141,0.053388867853085956,110,31,0.2198581560283688,1.2430161269674727,0.07281655603258762,0.008557921455393245
PercentInstallTrades,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
PercentInstallTrades,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
PercentInstallTrades,,2641,1.0,1336,1305,0.4941310109806891,,0.1619225923222117,0.019592524525512675
MSinceMostRecentInqexcl7days,"(-inf, -7.50)",188,0.07118515713744794,34,154,0.8191489361702128,-1.5340691121372652,0.14199122955355897,0.016190570273834706
MSinceMostRecentInqexcl7days,"[-7.50, -3.50)",410,0.1552442256720939,262,148,0.36097560975609755,0.5476551956571846,0.04528989229600809,0.005591532692418754
MSinceMostRecentInqexcl7days,"[-3.50, 0.50)",1182,0.44755774327906095,730,452,0.3824027072758037,0.4558853199704084,0.09119850536205693,0.011302109415479121
MSinceMostRecentInqexcl7days,"[0.50, 1.50)",183,0.0692919348731541,86,97,0.5300546448087432,-0.14384071658967235,0.0014324010148839637,0.00017889592910517354
MSinceMostRecentInqexcl7days,"[1.50, 8.50)",442,0.1673608481635744,159,283,0.6402714932126696,-0.6000197297628029,0.05870968738352371,0.0072305672994623545
MSinceMostRecentInqexcl7days,"[8.50, inf)",236,0.08936009087466869,65,171,0.7245762711864406,-0.9907533209468196,0.08162003019301209,0.009804685986264404
MSinceMostRecentInqexcl7days,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
MSinceMostRecentInqexcl7days,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
MSinceMostRecentInqexcl7days,,2641,1.0,1336,1305,0.4941310109806891,,0.42024174580304374,0.05029836159656452
NumInqLast6M,"(-inf, 0.50)",1075,0.407042786823173,448,627,0.5832558139534884,-0.35963034255773263,0.052193305824023366,0.006489230854462055
NumInqLast6M,"[0.50, 1.50)",652,0.2468761832639152,324,328,0.5030674846625767,-0.035747126931611584,0.00031550507560949284,3.943603473950327e-05
NumInqLast6M,"[1.50, 2.50)",402,0.15221507004922377,228,174,0.43283582089552236,0.24681329540011446,0.009212392463038213,0.0011486350695483552
NumInqLast6M,"[2.50, 3.50)",220,0.08330177962892843,131,89,0.40454545454545454,0.36308391912921434,0.010839746412115273,0.0013475742922475576
NumInqLast6M,"[3.50, inf)",292,0.11056418023475956,205,87,0.2979452054794521,0.8336248261440272,0.07233900063195925,0.008789321272454492
NumInqLast6M,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
NumInqLast6M,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
NumInqLast6M,,2641,1.0,1336,1305,0.4941310109806891,,0.14489995040674558,0.017814197523451963
NumInqLast6Mexcl7days,"(-inf, 0.50)",1130,0.42786823173040517,478,652,0.5769911504424778,-0.3339108637749939,0.04735938824420587,0.005892573833970342
NumInqLast6Mexcl7days,"[0.50, 1.50)",647,0.24498296099962136,326,321,0.49613601236476046,-0.008020776103105554,1.5761109349828685e-05,1.9701333877191743e-06
NumInqLast6Mexcl7days,"[1.50, 2.50)",375,0.14199166982203712,210,165,0.44,0.217685022477091,0.006693563479361291,0.0008350473269661957
NumInqLast6Mexcl7days,"[2.50, 3.50)",213,0.08065126845891708,130,83,0.38967136150234744,0.4252168083191872,0.014331446354676895,0.0017780554942751449
NumInqLast6Mexcl7days,"[3.50, inf)",276,0.10450586898901931,192,84,0.30434782608695654,0.8032015388446707,0.06372983233396216,0.007758769857962736
NumInqLast6Mexcl7days,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
NumInqLast6Mexcl7days,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
NumInqLast6Mexcl7days,,2641,1.0,1336,1305,0.4941310109806891,,0.13212999152155605,0.016266416646562136
NetFractionRevolvingBurden,"(-inf, 16.50)",1043,0.39492616433169253,343,700,0.6711409395973155,-0.736826922217262,0.2060624468702272,0.02519049920708654
NetFractionRevolvingBurden,"[16.50, 23.50)",196,0.07421431276031806,80,116,0.5918367346938775,-0.39504059077228015,0.011459593983813321,0.0014232069979403187
NetFractionRevolvingBurden,"[23.50, 35.50)",326,0.1234380916319576,160,166,0.50920245398773,-0.06029100746251331,0.00044872101362423343,5.608163291660729e-05
NetFractionRevolvingBurden,"[35.50, 58.50)",525,0.19878833775085195,321,204,0.38857142857142857,0.4298440949460024,0.03608438960033486,0.004476141532091058
NetFractionRevolvingBurden,"[58.50, 79.50)",325,0.12305944717909882,245,80,0.24615384615384617,1.0957545415310481,0.13377031878322432,0.01593195447157991
NetFractionRevolvingBurden,"[79.50, inf)",226,0.08557364634608103,187,39,0.17256637168141592,1.5440699363851431,0.16997894266658461,0.01936003821130926
NetFractionRevolvingBurden,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
NetFractionRevolvingBurden,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
NetFractionRevolvingBurden,,2641,1.0,1336,1305,0.4941310109806891,,0.5578044129178086,0.06643792205292369
NetFractionInstallBurden,"(-inf, 27.50)",1062,0.4021204089360091,457,605,0.5696798493408662,-0.30402210147643394,0.036949528065907844,0.004600985182772504
NetFractionInstallBurden,"[27.50, 56.50)",344,0.13025369178341537,175,169,0.49127906976744184,0.01141022466064353,1.695682892589926e-05,2.119592117560845e-06
NetFractionInstallBurden,"[56.50, 72.50)",358,0.13555471412343809,189,169,0.4720670391061452,0.08837126579677182,0.0010573754650391478,0.00013212894182681794
NetFractionInstallBurden,"[72.50, 82.50)",285,0.1079136690647482,175,110,0.38596491228070173,0.4408285737913008,0.020585299708180606,0.0025525277308703284
NetFractionInstallBurden,"[82.50, 95.50)",423,0.16016660355925785,250,173,0.408983451536643,0.3446922890246704,0.018805962739236858,0.0023391765986026103
NetFractionInstallBurden,"[95.50, inf)",169,0.06399091253313138,90,79,0.46745562130177515,0.10688478352344621,0.0007299023978652768,9.119439397665442e-05
NetFractionInstallBurden,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
NetFractionInstallBurden,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
NetFractionInstallBurden,,2641,1.0,1336,1305,0.4941310109806891,,0.07814502520515564,0.009718132440166475
NumRevolvingTradesWBalance,"(-inf, 0.50)",169,0.06399091253313138,91,78,0.46153846153846156,0.13067364548746094,0.001090296143865197,0.00013619013474402324
NumRevolvingTradesWBalance,"[0.50, 1.50)",341,0.12911775842483908,147,194,0.5689149560117303,-0.3009026066243894,0.011623585962297223,0.0014474915492092913
NumRevolvingTradesWBalance,"[1.50, 3.50)",913,0.345702385460053,412,501,0.5487404162102957,-0.2190597860751354,0.016544449257364344,0.002063931044630034
NumRevolvingTradesWBalance,"[3.50, 4.50)",377,0.14274895872775464,185,192,0.5092838196286472,-0.06061658128925388,0.0005245384873419688,6.555727448846402e-05
NumRevolvingTradesWBalance,"[4.50, 6.50)",441,0.16698220371071565,243,198,0.4489795918367347,0.18131737830621583,0.005468911013025091,0.0006826789763985262
NumRevolvingTradesWBalance,"[6.50, inf)",400,0.15145778114350625,258,142,0.355,0.5736554929805596,0.048360025378723394,0.005963456186521252
NumRevolvingTradesWBalance,Special,0,0.0,0,0,0.0,0.0,0.0,0.0
NumRevolvingTradesWBalance,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0
NumRevolvingTradesWBalance,,2641,1.0,1336,1305,0.4941310109806891,,0.08361180624261721,0.010359305165991591
NumInstallTradesWBalance,"(-inf, -3.50)",298,0.11283604695191216,121,177,0.5939597315436241,-0.40383622131688524,0.01819820152809538,0.0022594426956107656
NumInstallTradesWBalance,"[-3.50, 1.50)",683,0.2586141613025369,317,366,0.5358711566617862,-0.16720859386388265,0.007220789593574704,0.0009015486877839152
NumInstallTradesWBalance,"[1.50, 2.50)",735,0.27830367285119273,369,366,0.49795918367346936,-0.01531372370063639,6.5269622146185e-05,8.158623048438009e-06
NumInstallTradesWBalance,"[2.50, 3.50)",495,0.18742900416508898,264,231,0.4666666666666667,0.11005435828472535,0.002266381994548131,0.00028315486536539553
